Category;Number;Competency Question;Fulfilled? 
Anatomy;1;What anatomical structures compose the flap?;Yes
;2;What is the size of the flap?;Yes
;3;What is the Mathes and Nahai classification of the flap?;Yes
;4;Where is the flap connected?;Yes
Sugical technique;5;Is the flap pedicled or free?;Yes
;6;Is it a local, regional, or distant flap?;Yes
;7;How was the insertion site prepared?;Partially
;8;Was the flap modified before harvesting?;Partially
;9;Did the flap require split-thickness skin grafting?;No
Postoperative Course;10;Did the flap fully survive?;Yes
