class,classLabel,root,rootLabel,fmaSuperclasses
https://purl.bioontology.org/ontology/OFL/OFLID1000038,Parascapular cutaneous artery,https://purl.bioontology.org/ontology/OFL/OFLID1000038,Parascapular cutaneous artery,http://purl.obolibrary.org/obo/FMA_23193
https://purl.bioontology.org/ontology/OFL/OFLID1000039,Scapular cutaneous artery,https://purl.bioontology.org/ontology/OFL/OFLID1000039,Scapular cutaneous artery,http://purl.obolibrary.org/obo/FMA_23193
https://purl.bioontology.org/ontology/OFL/OFLID1000040,Ascending branch of circumflex scapular artery,https://purl.bioontology.org/ontology/OFL/OFLID1000040,Ascending branch of circumflex scapular artery,http://purl.obolibrary.org/obo/FMA_23193
https://purl.bioontology.org/ontology/OFL/OFLID1000066,Intrafascial arterial plexus,https://purl.bioontology.org/ontology/OFL/OFLID10001,Arterial plexus of the integument,http://purl.obolibrary.org/obo/FMA_5902
https://purl.bioontology.org/ontology/OFL/OFLID10001,Arterial plexus of the integument,https://purl.bioontology.org/ontology/OFL/OFLID10001,Arterial plexus of the integument,http://purl.obolibrary.org/obo/FMA_5902
https://purl.bioontology.org/ontology/OFL/OFLID10081,Dermal arterial plexus,https://purl.bioontology.org/ontology/OFL/OFLID10001,Arterial plexus of the integument,http://purl.obolibrary.org/obo/FMA_5902
https://purl.bioontology.org/ontology/OFL/OFLID10082,Subdermal arterial plexus,https://purl.bioontology.org/ontology/OFL/OFLID10001,Arterial plexus of the integument,http://purl.obolibrary.org/obo/FMA_5902
https://purl.bioontology.org/ontology/OFL/OFLID10089,Fascial arterial plexus,https://purl.bioontology.org/ontology/OFL/OFLID10001,Arterial plexus of the integument,http://purl.obolibrary.org/obo/FMA_5902
https://purl.bioontology.org/ontology/OFL/OFLID10090,Subcutaneous arterial plexus,https://purl.bioontology.org/ontology/OFL/OFLID10001,Arterial plexus of the integument,http://purl.obolibrary.org/obo/FMA_5902
https://purl.bioontology.org/ontology/OFL/OFLID10139,Prefascial arterial plexus,https://purl.bioontology.org/ontology/OFL/OFLID10001,Arterial plexus of the integument,http://purl.obolibrary.org/obo/FMA_5902
https://purl.bioontology.org/ontology/OFL/OFLID10142,Subfascial arterial plexus,https://purl.bioontology.org/ontology/OFL/OFLID10001,Arterial plexus of the integument,http://purl.obolibrary.org/obo/FMA_5902
