cq,cq_title,flap,flapLabel,answerClass,answerLabel,quality,qualityLabel,measurement,value,unit,mathesNahaiClass,mathesNahaiLabel,classification,classificationLabel,distanceClass,distanceLabel,connectionClass,connectionLabel,bloodSupplyClass,bloodSupplyLabel,chimericClass,chimericLabel,flowClass,flowLabel,movementClass,movementLabel,islandClass,islandLabel,preparationClass,preparationLabel,preHarvestClass,preHarvestLabel,skinGraftClass,skinGraftLabel,anastomosisClass,anastomosisLabel,survivalClass,survivalLabel
CQ01,CQ01: What anatomical structures compose the flap?,https://example.org/ofl/cq-abox/cq01_tissue_composition_flap,CQ01 minimal flap classified by tissue composition,https://purl.bioontology.org/ontology/OFL/OFLID10102,Flaps classified by tissue composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ01,CQ01: What anatomical structures compose the flap?,https://example.org/ofl/cq-abox/cq04_mathes_nahai_flap,CQ04 minimal Mathes and Nahai muscle flap,https://purl.bioontology.org/ontology/OFL/OFLID10102,Flaps classified by tissue composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ01,CQ01: What anatomical structures compose the flap?,https://example.org/ofl/cq-abox/cq08_non_random_pattern_flap,CQ08 non-random pattern flap,https://purl.bioontology.org/ontology/OFL/OFLID10102,Flaps classified by tissue composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ01,CQ01: What anatomical structures compose the flap?,https://example.org/ofl/cq-abox/cq08_random_pattern_flap,CQ08 random pattern flap,https://purl.bioontology.org/ontology/OFL/OFLID10102,Flaps classified by tissue composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq01_tissue_composition_flap,CQ01 minimal flap classified by tissue composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq02_sized_flap,CQ02 flap with volume measurement,,,https://example.org/ofl/cq-abox/cq02_volume_quality,CQ02 volume quality,https://example.org/ofl/cq-abox/cq02_volume_measurement,42.0,http://purl.obolibrary.org/obo/UO_0000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq04_mathes_nahai_flap,CQ04 minimal Mathes and Nahai muscle flap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq06_distant_flap,CQ06 distant flap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq06_local_flap,CQ06 local flap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq06_regional_flap,CQ06 regional flap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq08_non_random_pattern_flap,CQ08 non-random pattern flap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq08_random_pattern_flap,CQ08 random pattern flap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq09_chimeric_flap,CQ09 chimeric flap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq14_with_preharvest_modification_flap,CQ14 flap with preharvest modification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ02,CQ02: What is the size of the flap?,https://example.org/ofl/cq-abox/cq14_without_preharvest_modification_flap,CQ14 flap without preharvest modification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ03,CQ03: To which vessels is the flap connected?,https://example.org/ofl/cq-abox/cq03_recipient_vessel_flap,CQ03 minimal flap classified by recipient vessel,https://purl.bioontology.org/ontology/OFL/OFLID130000,'Flaps classified by recipient vessel',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ04,CQ04: What is the Mathes and Nahai classification of the muscle flap?,https://example.org/ofl/cq-abox/cq04_mathes_nahai_flap,CQ04 minimal Mathes and Nahai muscle flap,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10135,Muscle flaps classified by Mathes and Nahai,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ05,CQ05: What is the Nakajima24 classification of the flap?,https://example.org/ofl/cq-abox/cq05_branch_recognized_perforator_flap,CQ05 branch-based flap with recognized perforator,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10075,Branch-based flap with recognized perforator,,,,,,,,,,,,,,,,,,,,,,,,
CQ05,CQ05: What is the Nakajima24 classification of the flap?,https://example.org/ofl/cq-abox/cq08_branch_recognized_perforator_flap,CQ08 branch-based flap with recognized perforator,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10075,Branch-based flap with recognized perforator,,,,,,,,,,,,,,,,,,,,,,,,
CQ05,CQ05: What is the Nakajima24 classification of the flap?,https://example.org/ofl/cq-abox/cq05_branch_based_flap,CQ05 branch-based flap,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10076,Branch-based flaps,,,,,,,,,,,,,,,,,,,,,,,,
CQ05,CQ05: What is the Nakajima24 classification of the flap?,https://example.org/ofl/cq-abox/cq05_branch_recognized_perforator_flap,CQ05 branch-based flap with recognized perforator,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10076,Branch-based flaps,,,,,,,,,,,,,,,,,,,,,,,,
CQ05,CQ05: What is the Nakajima24 classification of the flap?,https://example.org/ofl/cq-abox/cq08_branch_based_flap,CQ08 branch-based flap,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10076,Branch-based flaps,,,,,,,,,,,,,,,,,,,,,,,,
CQ05,CQ05: What is the Nakajima24 classification of the flap?,https://example.org/ofl/cq-abox/cq08_branch_recognized_perforator_flap,CQ08 branch-based flap with recognized perforator,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10076,Branch-based flaps,,,,,,,,,,,,,,,,,,,,,,,,
CQ05,CQ05: What is the Nakajima24 classification of the flap?,https://example.org/ofl/cq-abox/cq05_perforator_based_flap,CQ05 perforator based flap,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10078,Perforator based flaps,,,,,,,,,,,,,,,,,,,,,,,,
CQ05,CQ05: What is the Nakajima24 classification of the flap?,https://example.org/ofl/cq-abox/cq08_perforator_based_flap,CQ08 perforator based flap,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10078,Perforator based flaps,,,,,,,,,,,,,,,,,,,,,,,,
CQ06,"CQ06: Is the flap local, regional or distant?",https://example.org/ofl/cq-abox/cq06_distant_flap,CQ06 distant flap,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10085,Distant flaps,,,,,,,,,,,,,,,,,,,,,,
CQ06,"CQ06: Is the flap local, regional or distant?",https://example.org/ofl/cq-abox/cq06_local_flap,CQ06 local flap,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10134,Local flaps,,,,,,,,,,,,,,,,,,,,,,
CQ06,"CQ06: Is the flap local, regional or distant?",https://example.org/ofl/cq-abox/cq06_regional_flap,CQ06 regional flap,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10140,Regional flaps,,,,,,,,,,,,,,,,,,,,,,
CQ07,CQ07: Is the flap pedicled or free?,https://example.org/ofl/cq-abox/cq07_pedicled_flap,CQ07 pedicled flap,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10053,Flaps with tissue connection to origin,,,,,,,,,,,,,,,,,,,,
