class,classLabel,fmaSuperclasses,fmaSuperclassLabels
https://purl.bioontology.org/ontology/OFL/OFLID1000038,Parascapular cutaneous artery,http://purl.obolibrary.org/obo/FMA_23193,
https://purl.bioontology.org/ontology/OFL/OFLID1000039,Scapular cutaneous artery,http://purl.obolibrary.org/obo/FMA_23193,
https://purl.bioontology.org/ontology/OFL/OFLID1000040,Ascending branch of circumflex scapular artery,http://purl.obolibrary.org/obo/FMA_23193,
https://purl.bioontology.org/ontology/OFL/OFLID10001,Arterial plexus of the integument,http://purl.obolibrary.org/obo/FMA_5902,
https://purl.bioontology.org/ontology/OFL/OFLID10060,Supraclavicular artery,http://purl.obolibrary.org/obo/FMA_86020,
https://purl.bioontology.org/ontology/OFL/OFLID10414,Subcutaneous adipose tissue of subdivision of cardinal body part,http://purl.obolibrary.org/obo/FMA_74315,
https://purl.bioontology.org/ontology/OFL/OFLID106012,Perforator vessel,http://purl.obolibrary.org/obo/FMA_86140,
https://purl.bioontology.org/ontology/OFL/OFLID106014,Perforator artery,http://purl.obolibrary.org/obo/FMA_86187,
https://purl.bioontology.org/ontology/OFL/OFLID106015,Perforator vein,http://purl.obolibrary.org/obo/FMA_86188,
https://purl.bioontology.org/ontology/OFL/OFLID106018,Flap pedicle vessel,http://purl.obolibrary.org/obo/FMA_86140,
https://purl.bioontology.org/ontology/OFL/OFLID11152,Vein from gastrocnemius muscle,http://purl.obolibrary.org/obo/FMA_78204,
https://purl.bioontology.org/ontology/OFL/OFLID11154,Vein to soleus muscle,http://purl.obolibrary.org/obo/FMA_78204,
https://purl.bioontology.org/ontology/OFL/OFLID11155,Second to fifth metacarpal artery,http://purl.obolibrary.org/obo/FMA_22738,
https://purl.bioontology.org/ontology/OFL/OFLID120001,Segment of intercostal artery,http://purl.obolibrary.org/obo/FMA_3711,
https://purl.bioontology.org/ontology/OFL/OFLID120009,Subdivision of popliteal artery,http://purl.obolibrary.org/obo/FMA_69458,
